"Locality","DailyAvgNewCasesPast7Days","TotalCases","State","Date","TotalCases7DaysAgo","NewCasesPast7Days","FIPS-Code","PercentIncreaseTotalCasesPast7Days"
"Maricopa","0","1","Arizona","3/5/20","1","0","04013","0"
"Alameda","0","1","California","3/5/20","0","1","06001","1"
"Contra Costa","0","1","California","3/5/20","0","1","06013","1"
"Humboldt","0","1","California","3/5/20","1","0","06023","0"
"Los Angeles","1","11","California","3/5/20","1","10","06037","1000"
"Orange","0","3","California","3/5/20","1","2","06059","200"
"Placer","0","2","California","3/5/20","0","2","06061","1"
"Sacramento","0","2","California","3/5/20","2","0","06067","0"
"San Benito","0","2","California","3/5/20","2","0","06069","0"
"San Diego","0","3","California","3/5/20","2","1","06073","50"
"San Francisco","0","2","California","3/5/20","0","2","06075","1"
"San Mateo","0","2","California","3/5/20","0","2","06081","1"
"Santa Clara","3","20","California","3/5/20","2","18","06085","900"
"Sonoma","0","1","California","3/5/20","0","1","06097","1"
"Douglas","0","1","Colorado","3/5/20","0","1","08035","1"
"Jefferson","0","1","Colorado","3/5/20","0","1","08059","1"
"Hillsborough","0","2","Florida","3/5/20","0","2","12057","1"
"Santa Rosa","0","1","Florida","3/5/20","0","1","12113","1"
"Fulton","0","2","Georgia","3/5/20","0","2","13121","1"
"Cook","0","5","Illinois","3/5/20","2","3","17031","150"
"Norfolk","0","1","Massachusetts","3/5/20","0","1","25021","1"
"Suffolk","0","1","Massachusetts","3/5/20","1","0","25025","0"
"Clark","0","1","Nevada","3/5/20","0","1","32003","1"
"Grafton","0","2","New Hampshire","3/5/20","0","2","33009","1"
"Bergen","0","2","New Jersey","3/5/20","0","2","34003","1"
"Nassau","0","1","New York","3/5/20","0","1","36059","1"
"New York","1","4","New York","3/5/20","0","4","36061","1"
"Westchester","3","18","New York","3/5/20","0","18","36119","1"
"Wake","0","1","North Carolina","3/5/20","0","1","37183","1"
"Umatilla","0","1","Oregon","3/5/20","0","1","41059","1"
"Washington","0","2","Oregon","3/5/20","0","2","41067","1"
"Providence","0","2","Rhode Island","3/5/20","0","2","44007","1"
"Williamson","0","1","Tennessee","3/5/20","0","1","47187","1"
"Fort Bend","0","1","Texas","3/5/20","0","1","48157","1"
"Harris","0","2","Texas","3/5/20","0","2","48201","1"
"Grant","0","1","Washington","3/5/20","0","1","53025","1"
"King","7","51","Washington","3/5/20","1","50","53033","5000"
"Snohomish","3","18","Washington","3/5/20","0","18","53061","1"
