"Locality","DailyAvgNewCasesPast7Days","TotalCases","State","Date","TotalCases7DaysAgo","NewCasesPast7Days","FIPS-Code","PercentIncreaseTotalCasesPast7Days"
"Elmore","0","1","Alabama","3/14/20","0","1","01051","1"
"Jefferson","0","1","Alabama","3/14/20","0","1","01073","1"
"Limestone","0","1","Alabama","3/14/20","0","1","01083","1"
"Madison","0","1","Alabama","3/14/20","0","1","01089","1"
"Montgomery","0","1","Alabama","3/14/20","0","1","01101","1"
"Tuscaloosa","0","1","Alabama","3/14/20","0","1","01125","1"
"Anchorage","0","1","Alaska","3/14/20","0","1","02020","1"
"Graham","0","1","Arizona","3/14/20","0","1","04009","1"
"Maricopa","0","4","Arizona","3/14/20","2","2","04013","100"
"Pima","0","2","Arizona","3/14/20","0","2","04019","1"
"Pinal","0","5","Arizona","3/14/20","2","3","04021","150"
"Jefferson","0","3","Arkansas","3/14/20","0","3","05069","1"
"Alameda","1","11","California","3/14/20","2","9","06001","450"
"Calaveras","0","2","California","3/14/20","0","2","06009","1"
"Contra Costa","4","29","California","3/14/20","3","26","06013","866.67"
"Fresno","0","1","California","3/14/20","0","1","06019","1"
"Humboldt","0","1","California","3/14/20","1","0","06023","0"
"Imperial","0","2","California","3/14/20","0","2","06025","1"
"Los Angeles","6","53","California","3/14/20","14","39","06037","278.57"
"Madera","0","1","California","3/14/20","1","0","06039","0"
"Marin","1","5","California","3/14/20","0","5","06041","1"
"Orange","2","14","California","3/14/20","3","11","06059","366.67"
"Placer","0","7","California","3/14/20","5","2","06061","40"
"Riverside","2","14","California","3/14/20","0","14","06065","1"
"Sacramento","4","29","California","3/14/20","2","27","06067","1350"
"San Benito","0","3","California","3/14/20","2","1","06069","50"
"San Diego","1","10","California","3/14/20","3","7","06073","233.33"
"San Francisco","3","28","California","3/14/20","9","19","06075","211.11"
"San Joaquin","1","8","California","3/14/20","0","8","06077","1"
"San Mateo","4","32","California","3/14/20","2","30","06081","1500"
"Santa Clara","9","95","California","3/14/20","32","63","06085","196.88"
"Santa Cruz","1","7","California","3/14/20","0","7","06087","1"
"Shasta","0","1","California","3/14/20","0","1","06089","1"
"Solano","1","6","California","3/14/20","0","6","06095","1"
"Sonoma","0","1","California","3/14/20","1","0","06097","0"
"Stanislaus","0","2","California","3/14/20","0","2","06099","1"
"Tulare","0","2","California","3/14/20","0","2","06107","1"
"Ventura","1","5","California","3/14/20","0","5","06111","1"
"Yolo","0","2","California","3/14/20","1","1","06113","100"
"Adams","1","6","Colorado","3/14/20","0","6","08001","1"
"Arapahoe","1","10","Colorado","3/14/20","0","10","08005","1"
"Boulder","0","1","Colorado","3/14/20","0","1","08013","1"
"Clear Creek","0","1","Colorado","3/14/20","0","1","08019","1"
"Denver","3","23","Colorado","3/14/20","2","21","08031","1050"
"Douglas","0","4","Colorado","3/14/20","3","1","08035","33.33"
"Eagle","3","20","Colorado","3/14/20","1","19","08037","1900"
"El Paso","0","3","Colorado","3/14/20","1","2","08041","200"
"Gunnison","1","7","Colorado","3/14/20","0","7","08051","1"
"Jefferson","1","9","Colorado","3/14/20","1","8","08059","800"
"Larimer","0","1","Colorado","3/14/20","0","1","08069","1"
"Mesa","0","1","Colorado","3/14/20","0","1","08077","1"
"Pitkin","2","11","Colorado","3/14/20","0","11","08097","1"
"Pueblo","0","1","Colorado","3/14/20","0","1","08101","1"
"Routt","0","1","Colorado","3/14/20","0","1","08107","1"
"Summit","0","2","Colorado","3/14/20","0","2","08117","1"
"Weld","0","2","Colorado","3/14/20","0","2","08123","1"
"Fairfield","2","15","Connecticut","3/14/20","0","15","09001","1"
"Hartford","0","1","Connecticut","3/14/20","0","1","09003","1"
"Litchfield","0","3","Connecticut","3/14/20","0","3","09005","1"
"New Haven","1","4","Connecticut","3/14/20","0","4","09009","1"
"New Castle","1","6","Delaware","3/14/20","0","6","10003","1"
"Alachua","0","1","Florida","3/14/20","0","1","12001","1"
"Broward","3","20","Florida","3/14/20","2","18","12011","900"
"Charlotte","0","1","Florida","3/14/20","0","1","12015","1"
"Clay","0","1","Florida","3/14/20","0","1","12019","1"
"Collier","0","3","Florida","3/14/20","0","3","12021","1"
"Duval","0","1","Florida","3/14/20","0","1","12031","1"
"Hillsborough","0","2","Florida","3/14/20","2","0","12057","0"
"Lee","0","4","Florida","3/14/20","2","2","12071","100"
"Manatee","1","4","Florida","3/14/20","0","4","12081","1"
"Miami-Dade","1","8","Florida","3/14/20","0","8","12086","1"
"Nassau","0","1","Florida","3/14/20","0","1","12089","1"
"Okaloosa","0","1","Florida","3/14/20","0","1","12091","1"
"Orange","0","1","Florida","3/14/20","0","1","12095","1"
"Osceola","0","1","Florida","3/14/20","0","1","12097","1"
"Palm Beach","1","5","Florida","3/14/20","0","5","12099","1"
"Pasco","0","1","Florida","3/14/20","0","1","12101","1"
"Pinellas","0","2","Florida","3/14/20","0","2","12103","1"
"Santa Rosa","0","1","Florida","3/14/20","1","0","12113","0"
"Sarasota","0","1","Florida","3/14/20","0","1","12115","1"
"Seminole","0","1","Florida","3/14/20","0","1","12117","1"
"Volusia","1","4","Florida","3/14/20","0","4","12127","1"
"Bartow","1","7","Georgia","3/14/20","0","7","13015","1"
"Charlton","0","1","Georgia","3/14/20","0","1","13049","1"
"Cherokee","1","5","Georgia","3/14/20","0","5","13057","1"
"Cobb","2","15","Georgia","3/14/20","1","14","13067","1400"
"Coweta","0","2","Georgia","3/14/20","0","2","13077","1"
"DeKalb","1","8","Georgia","3/14/20","0","8","13089","1"
"Dougherty","1","7","Georgia","3/14/20","0","7","13095","1"
"Fayette","1","4","Georgia","3/14/20","0","4","13113","1"
"Floyd","0","3","Georgia","3/14/20","0","3","13115","1"
"Fulton","1","13","Georgia","3/14/20","3","10","13121","333.33"
"Gordon","0","2","Georgia","3/14/20","0","2","13129","1"
"Gwinnett","0","2","Georgia","3/14/20","0","2","13135","1"
"Henry","0","1","Georgia","3/14/20","0","1","13151","1"
"Lee","0","1","Georgia","3/14/20","0","1","13177","1"
"Lowndes","0","1","Georgia","3/14/20","0","1","13185","1"
"Polk","0","1","Georgia","3/14/20","1","0","13233","0"
"Honolulu","0","2","Hawaii","3/14/20","1","1","15003","100"
"Kauai","0","2","Hawaii","3/14/20","0","2","15007","1"
"Ada","0","1","Idaho","3/14/20","0","1","16001","1"
"Blaine","0","1","Idaho","3/14/20","0","1","16013","1"
"Coles","0","1","Illinois","3/14/20","0","1","17029","1"
"Cook","6","50","Illinois","3/14/20","6","44","17031","733.33"
"Cumberland","0","1","Illinois","3/14/20","0","1","17035","1"
"DuPage","0","1","Illinois","3/14/20","0","1","17043","1"
"Kane","0","3","Illinois","3/14/20","0","3","17089","1"
"Lake","0","3","Illinois","3/14/20","0","3","17097","1"
"McHenry","0","2","Illinois","3/14/20","0","2","17111","1"
"St. Clair","0","2","Illinois","3/14/20","0","2","17163","1"
"Woodford","0","1","Illinois","3/14/20","0","1","17203","1"
"Adams","0","1","Indiana","3/14/20","0","1","18001","1"
"Boone","0","1","Indiana","3/14/20","0","1","18011","1"
"Hancock","0","1","Indiana","3/14/20","0","1","18059","1"
"Hendricks","0","2","Indiana","3/14/20","0","2","18063","1"
"Howard","0","1","Indiana","3/14/20","0","1","18067","1"
"Johnson","0","3","Indiana","3/14/20","0","3","18081","1"
"LaPorte","0","1","Indiana","3/14/20","0","1","18091","1"
"Marion","0","3","Indiana","3/14/20","1","2","18097","200"
"Noble","0","1","Indiana","3/14/20","0","1","18113","1"
"St. Joseph","0","1","Indiana","3/14/20","0","1","18141","1"
"Wells","0","1","Indiana","3/14/20","0","1","18179","1"
"Carroll","0","1","Iowa","3/14/20","0","1","19027","1"
"Harrison","0","1","Iowa","3/14/20","0","1","19085","1"
"Johnson","2","14","Iowa","3/14/20","0","14","19103","1"
"Pottawattamie","0","1","Iowa","3/14/20","0","1","19155","1"
"Butler","0","1","Kansas","3/14/20","0","1","20015","1"
"Franklin","0","1","Kansas","3/14/20","0","1","20059","1"
"Johnson","1","5","Kansas","3/14/20","0","5","20091","1"
"Wyandotte","0","1","Kansas","3/14/20","0","1","20209","1"
"Fayette","0","3","Kentucky","3/14/20","1","2","21067","200"
"Harrison","1","6","Kentucky","3/14/20","0","6","21097","1"
